date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg
10/12/2022,MSFT,225.75,21865503.0,0.001508,,223.96001,227.86,-0.003291,0.0,0.0,0.0,0.0,0.0,0.09138807952404022
10/13/2022,MSFT,234.24001,42511075.0,0.037608,,219.13,236.10001,0.025966,0.0,0.0,0.0,0.0,0.0,0.09138807952404022
10/21/2022,MSFT,242.12,26275138.0,0.025281,,234.5,243.0,0.023725,0.0,0.0,0.0,0.0,0.0,-0.09284579668726241
10/24/2022,MSFT,247.25,24882548.0,0.021188,,241.295,247.84,0.011882,0.0,0.0,0.0,0.0,0.0,-0.09284579668726241
10/25/2022,MSFT,250.66,34713401.0,0.013792,,245.83,251.03999,0.016267,-0.4996934533119202,-0.1124458710352579,-0.3641567995150884,0.259988454580307,-0.03472278164492709,-0.014881192133540198
10/26/2022,MSFT,231.32001,82523616.0,-0.077156,,230.06,238.3,-0.007388,0.0,-0.4766332983970642,-0.1668216544389724,0.2166666666666666,-0.10477059576246468,-0.007760476101012457
10/27/2022,MSFT,226.75,40359252.0,-0.019756,,225.78,233.69,-0.006083,0.0,-0.0822689533233642,-0.0287941336631774,0.0,-0.06520526270071657,-0.011873923767180657
10/28/2022,MSFT,235.87,40574166.0,0.04022,,226.05,236.60001,0.024626,0.0,0.0,0.0,0.0,-0.00959804455439243,-0.04901513156436737
10/31/2022,MSFT,232.13,28304565.0,-0.015856,,231.14999,234.92,-0.007454,0.0,0.0,0.0,0.324349795281887,0.10811659842729571,0.04222223737410137
11/01/2022,MSFT,228.17,30525099.0,-0.017059,,227.325,235.74001,-0.004101,0.0,0.0,0.0,0.0,0.0,0.046335685040269574
11/02/2022,MSFT,220.10001,38358550.0,-0.035368,,220.03999,231.3,-0.025002,0.0,0.0,0.0,0.0,0.0,0.046335685040269574
11/03/2022,MSFT,214.25,36732830.0,-0.026579,,213.98,220.41,-0.010586,0.0,0.0,0.0,0.0,0.0,0.0
11/04/2022,MSFT,221.39,36712344.0,0.033326,,213.431,221.59,0.013619,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2022,MSFT,228.87,28165860.0,0.004388,,225.84,231.64999,0.005598,0.0,-0.6415197253227234,-0.2245319038629531,0.0,-0.05088247623708506,-0.021806775530179328
11/10/2022,MSFT,242.98,46213524.0,0.082268,,235.0,243.33,0.055434,0.0,0.0,0.0,0.0,0.0,-0.021806775530179328
11/11/2022,MSFT,247.11,34570086.0,0.016997,,241.92999,247.99001,0.009241,0.0,0.0,0.0,0.1219630440076192,0.040654348002539774,-0.0146526942650477
11/14/2022,MSFT,241.55,31081333.0,-0.0225,,239.21001,243.91,-0.008936,0.0,0.0,0.0,0.0,0.0,0.06232062478860218
11/16/2022,MSFT,241.73,24048684.0,0.001818,0.68,240.42,243.8,-0.008252,-0.9999929666519164,0.89715576171875,-0.3359909117221832,0.5512278765439987,0.10635873576005306,0.09047964811325072
11/22/2022,MSFT,245.03,19618821.0,0.012311,,240.71001,245.31,0.01358,0.0,0.0,0.0,0.325,0.21658089607954026,0.18547328377053848
11/23/2022,MSFT,247.58,19477162.0,0.010407,,244.27,248.28,0.005915,0.0,0.3046142061551412,0.1066149721542994,0.0,0.1438716573847665,0.12195715457201002
11/25/2022,MSFT,247.49001,9191065.0,-0.000364,,246.73,248.7,-0.000283,0.0,-0.4994388520717621,-0.1748035982251167,0.0,-0.058267866075038866,0.08307915173825763
11/28/2022,MSFT,241.75999,24778937.0,-0.023152,,240.8,246.64999,-0.015444,0.0,0.0,0.0,0.0,0.0,-0.009741232295831055
11/30/2022,MSFT,255.14,47454704.0,0.061624,,239.86,255.33,0.030948,0.0,0.0,0.0,0.0,0.0,-0.02497194260358811
12/06/2022,MSFT,245.12,22408779.0,-0.020304,,243.78,251.86,-0.014399,0.0,0.0,0.0,0.0,0.0,0.0
12/07/2022,MSFT,244.37,20432120.0,-0.00306,,242.205,246.16,-0.001862,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2022,MSFT,247.39999,22559773.0,0.012399,,243.06,248.74001,0.007522,0.0,0.0,0.0,0.0,0.0,0.0
12/09/2022,MSFT,245.42,20589371.0,-0.008003,,244.16,248.31,-0.00735,0.0,0.0,0.0,0.0,-0.21160437464714046,-0.0906875891344888
12/12/2022,MSFT,252.50999,30627413.0,0.028889,,247.17,252.53999,0.014279,0.0,0.2599880397319793,0.0909958139061927,0.0,0.030331937968730936,-0.07768818714788983
